IMPHY_ID,Phytochemical_Name,SMILES,RO5_Status
IMPHY006148,4-Hydroxyacetophenone,CC(=O)c1ccc(cc1)O,Passed
IMPHY006936,Syringaldehyde,COc1cc(C=O)cc(c1O)OC,Passed
IMPHY007556,Nicotianamine,N[C@H](C(=O)O)CCN[C@H](C(=O)O)CCN1CC[C@H]1C(=O)O,Passed
IMPHY009356,4-Hydroxybenzaldehyde,O=Cc1ccc(cc1)O,Passed
IMPHY011409,Guaiacol,COc1ccccc1O,Passed
IMPHY011802,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,Passed
IMPHY000005,Thiamine,OCCc1sc[n+](c1C)Cc1cnc(nc1N)C,Passed
IMPHY000300,3-Aminobutanoic acid,CC(CC(=O)O)N,Passed
IMPHY000846,Riboflavin,OC[C@H]([C@H]([C@H](Cn1c2-c(nc3c1cc(C)c(c3)C)c(=O)[nH]c(=O)n2)O)O)O,Passed
IMPHY001216,(+)-phytocassane A,C=CC1=CC(=O)[C@H]2[C@H]([C@H]1C)CC[C@@H]1[C@]2(C)C[C@H](O)C(=O)C1(C)C,Passed
IMPHY001224,"Methyl 2,6-dihydroxy-4-quinolinecarboxylate",COC(=O)c1cc(=O)[nH]c2c1cc(O)cc2,Passed
IMPHY001274,Pelargonidin 3-glucoside,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(cc3[o+]c2c2ccc(cc2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Failed (1 violation)
IMPHY001315,Flavanone,O=C1CC(Oc2c1cccc2)c1ccccc1,Passed
IMPHY001644,Malvidin,COc1cc(cc(c1O)OC)c1[o+]c2cc(O)cc(c2cc1O)O,Passed
IMPHY002319,24-Methyl-24-methoxycycloartanol,COC(C(C)C)(CC[C@H]([C@H]1CC[C@@]2([C@]1(C)CC[C@@]13[C@H]2CC[C@@H]2[C@]3(C1)CC[C@@H](C2(C)C)O)C)C)C,Failed (1 violation)
IMPHY002365,"3-Deoxy-d-arabino-hexono-1,4-lactone",OC(=O)C(c1ccccc1)N=Cc1ccccc1,Passed
IMPHY002588,Flavylium,c1ccc(cc1)c1ccc2c([o+]1)cccc2,Passed
IMPHY002627,Campestanyl ferulate,COc1cc(/C=C/C(=O)O[C@H]2CC[C@]3([C@H](C2)CC[C@@H]2[C@@H]3CC[C@]3([C@H]2CC[C@@H]3[C@@H](CC[C@H](C(C)C)C)C)C)C)ccc1O,Failed (2 violations)
IMPHY002667,Pentadecanoic acid,CCCCCCCCCCCCCCC(=O)O,Failed (1 violation)
IMPHY003016,Lauric acid,CCCCCCCCCCCC(=O)O,Passed
IMPHY003026,Dehydrocoronamic acid,N[C@]1(C[C@H]1C=C)C(=O)O,Passed
IMPHY003104,Decanoic acid,CCCCCCCCCC(=O)O,Passed
IMPHY003359,Gliadins,NC(=O)CCC(C(=O)N1CCCC1C(=O)NC(C(=O)O)CCC(=O)N)NC(=O)C1CCCN1C(=O)C(Cc1ccc(cc1)O)N,Failed (2 violations)
IMPHY003366,"2-C-methyl-d-erythrono-1,4-lactone",O=C(Oc1ccc2c(c1)O/C(=C/c1ccccc1C)/C2=O)/C=Cc1ccccc1,Failed (1 violation)
IMPHY003466,5'-O-beta-D-Glucosylpyridoxine,OC[C@H]1O[C@@H](OCc2cnc(c(c2CO)O)C)[C@@H]([C@H]([C@@H]1O)O)O,Failed (1 violation)
IMPHY003906,trans-Zeatin,OC/C(=C/CNc1ncnc2c1[nH]cn2)/C,Passed
IMPHY004025,Jasmonic acid,CC/C=CC[C@@H]1[C@H](CCC1=O)CC(=O)O,Passed
IMPHY004187,L-(+)-Arabinose,OC[C@@H]([C@@H]([C@H](C=O)O)O)O,Passed
IMPHY004308,Meloside L,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(c(c1)O)O,Failed (3 violations)
IMPHY004388,Kaempferol,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,Passed
IMPHY004457,"[(10R,13R,17R)-17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] (Z)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",CCC(C(C)C)CCC([C@H]1CCC2[C@]1(C)CCC1C2CC=C2[C@]1(C)CCC(C2)OC(=O)/C=Cc1ccc(c(c1)OC)O)C,Failed (2 violations)
